epoch,train_loss,val_loss,val_auc,val_ap,test_auc,test_ap,pos_samples,elapsed_sec
1,1.3859930038452148,1.3420085906982422,0.8197760689077187,0.8821837045095463,0.8303494056281917,0.8865402423659703,5193,0.1161501407623291
10,0.9655468463897705,1.0018835067749023,0.8856935287428093,0.9062781319989298,0.8945728998744068,0.9148357243036709,5193,0.552560567855835
20,0.9179965257644653,0.954088032245636,0.9010353726605588,0.9196293600810452,0.9033288145089873,0.9222795471223681,5193,1.0119967460632324
30,0.909771740436554,0.9414246082305908,0.9049290006433981,0.9243960457399452,0.9210305768504823,0.936146934478164,5193,1.4763081073760986
40,0.8968974351882935,0.9449552893638611,0.9021441069703062,0.9226790758553552,0.9219778680487463,0.9374104778740212,5193,1.9832782745361328
50,0.8858652114868164,0.9353691339492798,0.9152708564319647,0.9311508814960703,0.9288724385744573,0.9420154964130646,5193,2.5058939456939697
60,0.8686778545379639,0.9302327632904053,0.9115576648678422,0.9321913906566364,0.9265291392945411,0.9429714762866188,5193,2.966834306716919
70,0.8543642163276672,0.9177588820457458,0.921721458401096,0.9377853712864842,0.9323790779224171,0.9457187341556682,5193,3.468118190765381
80,0.8639103174209595,0.920261561870575,0.9175666724437977,0.9357813622081796,0.9336824936313066,0.9478590727554803,5193,3.9407591819763184
90,0.8387243747711182,0.9175029993057251,0.9195396022326632,0.9376053145881096,0.9328016790083594,0.947380431077479,5193,4.445481300354004
100,0.8478007316589355,0.9189794063568115,0.9214056946683413,0.9380939840918663,0.9361302561010064,0.9491387831430772,5193,4.9197399616241455
110,0.8528600931167603,0.9177232980728149,0.921721458401096,0.9381640071915995,0.937279351188625,0.9497640328141713,5193,5.383104562759399
120,0.8432851433753967,0.9245388507843018,0.9194208940624546,0.937085643196922,0.935873846453356,0.949161934770964,5193,5.851292610168457
