threshold,cluster,cluster_nodes,cluster_genes,universe_genes,tested_terms,significant_terms,best_term_id,best_term_name,best_q_value,best_p_value,best_overlap,best_enrichment_ratio
080,0,2959,49957,60887,124019,114833,GEX001113,GSE238213-5-vs-1-human dn,5.60326694372808e-172,3.0271078240413266e-175,1994,1.2187881578157216
080,1,6514,57280,60887,124019,107770,GEX000041,GSE243702-1-vs-3-human up,6.102407165736019e-52,1.2390454737178655e-54,1998,1.062971368715084
080,2,913,44535,60887,124019,116147,GEX001183,"GSE209632,GSE209820-3-vs-5-human dn",2.501961311484874e-273,2.526289609828123e-277,1997,1.3671718872796677
080,3,2949,51793,60887,124019,114033,GEX001113,GSE238213-5-vs-1-human dn,3.119916950944936e-140,2.318673492937854e-143,1994,1.17558357306972
080,4,2396,53806,60887,124019,113067,GEX000041,GSE243702-1-vs-3-human up,1.1134664018653788e-106,6.340478674535277e-110,1998,1.1316024235215403
080,5,3593,55201,60887,124019,111512,GEX000041,GSE243702-1-vs-3-human up,2.9802787455948224e-84,2.6885976094746394e-87,1998,1.1030053803373125
080,6,917,43556,60887,124019,115930,GEX001183,"GSE209632,GSE209820-3-vs-5-human dn",5.925567688026143e-293,4.720591107043118e-297,1997,1.3979015520249796
080,7,1853,53117,60887,124019,113467,GEX000041,GSE243702-1-vs-3-human up,4.953281969866225e-118,2.539523284038975e-121,1998,1.1462808517047274
080,8,3906,55769,60887,124019,110648,GEX000041,GSE243702-1-vs-3-human up,2.663234144448982e-75,2.994056059846465e-78,1998,1.0917714142265416
080,9,2437,51203,60887,124019,113750,GEX000042,GSE243702-1-vs-3-human dn,2.943057318473163e-150,6.005459137511095e-154,2000,1.1891295431908286
085,0,549,38057,50557,123888,111337,GEX001183,"GSE209632,GSE209820-3-vs-5-human dn",2.0354199303686567e-248,7.4943714895602e-253,1997,1.3284546863914652
085,1,464,30986,50557,123888,112576,GEX000008,"GSE157034,GSE157036-0-vs-5-human up",0.0,0.0,1821,1.6289242573895852
085,2,272,13300,50557,123888,110591,GEX000008,"GSE157034,GSE157036-0-vs-5-human up",0.0,0.0,1310,2.730084668909115
085,3,421,29205,50557,123888,113014,GEX000008,"GSE157034,GSE157036-0-vs-5-human up",0.0,0.0,1820,1.7273113982525223
085,4,349,30234,50557,123888,112616,GEX000008,"GSE157034,GSE157036-0-vs-5-human up",0.0,0.0,1817,1.6657728525976911
085,5,516,31633,50557,123888,113042,GEX000008,"GSE157034,GSE157036-0-vs-5-human up",0.0,0.0,1819,1.5938548899078855
085,6,393,30328,50557,123888,111628,GEX000422,GSE187784-15-vs-11-human dn,0.0,0.0,1841,1.622072197393069
085,7,539,37820,50557,123888,111115,GEX001183,"GSE209632,GSE209820-3-vs-5-human dn",4.1914334978025804e-254,2.0374806844215864e-258,1997,1.3367794817556848
085,8,418,38321,50557,123888,111289,GEX015925,GSE213558-2-vs-5-human up,3.978348775577572e-242,1.4412717586301093e-246,1996,1.319302732183398
085,9,422,30684,50557,123888,112874,GEX000008,"GSE157034,GSE157036-0-vs-5-human up",0.0,0.0,1812,1.6368266248825034
090,0,118,23462,43329,123544,110383,GEX000041,GSE243702-1-vs-3-human up,0.0,0.0,1846,1.711417616592018
090,1,228,24356,43329,123544,111121,GEX000008,"GSE157034,GSE157036-0-vs-5-human up",0.0,0.0,1796,1.7526385674120586
090,2,144,21002,43329,123544,110294,GEX000008,"GSE157034,GSE157036-0-vs-5-human up",0.0,0.0,1733,1.9612362231990759
090,3,61,18630,43329,123544,110405,GEX000008,"GSE157034,GSE157036-0-vs-5-human up",0.0,0.0,1647,2.1012258818478857
090,4,373,36204,43329,123544,106312,GEX028692,"GSE255774,GSE255775-4-vs-3-human dn",1.2346398007892585e-155,2.328511283537521e-160,1994,1.1968014584023865
090,5,172,10290,43329,123544,99377,GEX003293,"GSE227973,GSE227974-1-vs-2-human dn",0.0,0.0,748,4.210787172011662
090,6,120,20926,43329,123544,110530,GEX000008,"GSE157034,GSE157036-0-vs-5-human up",0.0,0.0,1745,1.9819888530222398
090,7,140,22605,43329,123544,110715,GEX000008,"GSE157034,GSE157036-0-vs-5-human up",0.0,0.0,1769,1.860010170129449
090,8,176,22694,43329,123544,110919,GEX000008,"GSE157034,GSE157036-0-vs-5-human up",0.0,0.0,1784,1.8684255472447207
090,9,111,7289,43329,123544,104836,GEX000544,"GSE213142,GSE240717-5-vs-4-human dn",0.0,0.0,1811,5.94443682260941
